[1, 1, 'Õº Èπ›', 102, 155922, 3.9]
[1, 1, 'Àﬁ…·', 111, 120852, 0.01]
[1, 1, 'Àﬁ…·', 112, 93353, 0.01]
[1, 1, 'Àﬁ…·', 112, 93346, 0.01]
[1, 1, 'Àﬁ…·', 112, 112542, 0.02]
[1, 1, 'Àﬁ…·', 112, 182554, 0.01]
[1, 1, 'Àﬁ…·', 112, 225653, 0.01]
[1, 1, 'Àﬁ…·', 112, 225419, 0.02]
[1, 1, 'Àﬁ…·', 113, 110456, 0.01]
[1, 1, 'Àﬁ…·', 113, 213500, 0.01]
[1, 1, 'Àﬁ…·', 113, 214004, 0.01]
[1, 1, 'Àﬁ…·', 114, 103619, 0.01]
[1, 1, 'Àﬁ…·', 114, 112047, 0.01]
[1, 1, 'Àﬁ…·', 114, 221018, 0.01]
[1, 1, 'Àﬁ…·', 115, 100943, 0.01]
[1, 1, 'Àﬁ…·', 115, 213340, 0.01]
[1, 1, 'Àﬁ…·', 115, 181354, 0.01]
[1, 1, 'Àﬁ…·', 116, 104946, 0.01]
[1, 1, 'Àﬁ…·', 116, 214517, 0.01]
[1, 1, 'Àﬁ…·', 117, 82550, 0.01]
[1, 1, 'Àﬁ…·', 1122, 172448, 0.01]
[1, 1, 'Àﬁ…·', 1122, 214914, 0.02]
[1, 1, 'Àﬁ…·', 1123, 210503, 0.01]
[1, 1, 'Àﬁ…·', 1123, 203851, 1.2]
[1, 1, 'Àﬁ…·', 1124, 105620, 0.01]
[1, 1, 'Àﬁ…·', 1124, 221607, 0.01]
[1, 1, 'Àﬁ…·', 1125, 105339, 0.01]
[1, 1, 'Àﬁ…·', 1125, 124820, 0.8]
[1, 1, 'Àﬁ…·', 1125, 220252, 0.02]
[1, 1, 'Àﬁ…·', 1126, 123118, 0.02]
[1, 1, 'Àﬁ…·', 1126, 220047, 0.01]
[1, 1, 'Àﬁ…·', 1127, 113204, 0.01]
[1, 1, 'Àﬁ…·', 1127, 182048, 0.8]
[1, 1, 'Àﬁ…·', 1128, 222131, 0.02]
[1, 1, 'Àﬁ…·', 1129, 191731, 0.01]
[1, 1, 'Àﬁ…·', 1130, 220458, 0.01]
[1, 1, 'Àﬁ…·', 1201, 112153, 0.02]
[1, 1, 'Àﬁ…·', 1201, 222351, 0.01]
[1, 1, 'Àﬁ…·', 1202, 90733, 0.01]
[1, 1, 'Àﬁ…·', 1202, 224516, 0.02]
[1, 1, 'Àﬁ…·', 1203, 65736, 0.01]
[1, 1, 'Àﬁ…·', 1203, 215859, 0.04]
[1, 1, 'Àﬁ…·', 1203, 215634, 0.01]
[1, 1, 'Àﬁ…·', 1204, 174449, 0.01]
[1, 1, 'Àﬁ…·', 1205, 123250, 0.01]
[1, 1, 'Àﬁ…·', 1206, 121640, 1.2]
[1, 1, 'Àﬁ…·', 1207, 212220, 0.01]
[1, 1, 'Àﬁ…·', 1207, 222607, 0.01]
[1, 1, 'Àﬁ…·', 1208, 223623, 0.01]
[1, 1, 'Àﬁ…·', 1209, 220618, 0.01]
[1, 1, 'Àﬁ…·', 1210, 215854, 0.01]
[1, 1, 'Àﬁ…·', 1211, 175822, 0.01]
[1, 1, 'Àﬁ…·', 1211, 220223, 0.01]
[1, 1, 'Àﬁ…·', 1212, 220340, 0.02]
[1, 1, 'Àﬁ…·', 1213, 194119, 0.02]
[1, 1, 'Àﬁ…·', 1213, 192157, 0.01]
[1, 1, 'Àﬁ…·', 1214, 211652, 0.01]
[1, 1, 'Àﬁ…·', 1216, 205243, 1.2]
[1, 1, 'Àﬁ…·', 1217, 222319, 0.02]
[1, 1, 'Àﬁ…·', 1218, 101254, 0.01]
[1, 1, 'Àﬁ…·', 1218, 223418, 0.01]
[1, 1, 'Àﬁ…·', 1218, 223437, 0.01]
[1, 1, 'Àﬁ…·', 1219, 83706, 0.01]
[1, 1, 'Àﬁ…·', 1220, 222502, 0.01]
[1, 1, 'Àﬁ…·', 1221, 192545, 0.01]
[1, 1, 'Àﬁ…·', 1222, 103813, 0.01]
[1, 1, 'Àﬁ…·', 1222, 221425, 0.01]
[1, 1, 'Àﬁ…·', 1223, 131121, 0.02]
[1, 1, 'Àﬁ…·', 1223, 222419, 0.03]
[1, 1, 'Àﬁ…·', 1224, 114102, 0.01]
[1, 1, 'Àﬁ…·', 1224, 181131, 0.01]
[1, 1, 'Àﬁ…·', 1225, 100847, 0.01]
[1, 1, 'Àﬁ…·', 1225, 215048, 0.01]
[1, 1, 'Àﬁ…·', 1226, 120336, 0.01]
[1, 1, 'Àﬁ…·', 1226, 141735, 0.01]
[1, 1, 'Àﬁ…·', 1226, 220015, 0.01]
[1, 1, 'Àﬁ…·', 1227, 113900, 0.01]
[1, 1, 'Àﬁ…·', 1227, 223703, 0.01]
[1, 1, 'Àﬁ…·', 1228, 182828, 0.02]
[1, 1, 'Àﬁ…·', 1228, 215741, 0.02]
[1, 1, 'Àﬁ…·', 1229, 104259, 1.2]
[1, 1, 'Àﬁ…·', 1229, 104208, 0.01]
[1, 1, 'Àﬁ…·', 1229, 172611, 0.01]
[1, 1, 'Àﬁ…·', 1230, 114652, 0.01]
[1, 1, 'Àﬁ…·', 1230, 222406, 0.01]
[1, 1, 'Àﬁ…·', 1231, 150221, 0.01]
[1, 1, 'Àﬁ…·', 1231, 230702, 0.01]
[1, 1, 'ΩÃ “', 103, 191038, 0.01]
[1, 1, 'ΩÃ “', 104, 183137, 0.01]
[1, 1, 'ΩÃ “', 108, 181831, 0.01]
[1, 1, 'ΩÃ “', 1210, 190015, 0.01]
[1, 1, 'ΩÃ “', 1227, 183913, 0.01]
[1, 1, 'ΩÃ “', 1230, 123138, 0.01]
[1, 1, 'ΩÃ “', 1230, 182225, 0.01]
[1, 1, '≥¨ –', 105, 124119, 23.8]
[1, 1, '≥¨ –', 105, 215748, 10.8]
[1, 1, '≥¨ –', 107, 84648, 4.0]
[1, 1, '≥¨ –', 107, 214801, 11.5]
[1, 1, '≥¨ –', 110, 173155, 30.0]
[1, 1, '≥¨ –', 110, 173159, 13.5]
[1, 1, '≥¨ –', 111, 184057, 5.0]
[1, 1, '≥¨ –', 112, 181034, 17.6]
[1, 1, '≥¨ –', 115, 181232, 3.7]
[1, 1, '≥¨ –', 1123, 191955, 30.0]
[1, 1, '≥¨ –', 1123, 191958, 10.4]
[1, 1, '≥¨ –', 1129, 103142, 8.4]
[1, 1, '≥¨ –', 1130, 220023, 6.4]
[1, 1, '≥¨ –', 1206, 164323, 30.0]
[1, 1, '≥¨ –', 1206, 164326, 16.4]
[1, 1, '≥¨ –', 1206, 221606, 6.7]
[1, 1, '≥¨ –', 1209, 220225, 13.5]
[1, 1, '≥¨ –', 1214, 211204, 6.8]
[1, 1, '≥¨ –', 1215, 115946, 18.2]
[1, 1, '≥¨ –', 1215, 214444, 3.8]
[1, 1, '≥¨ –', 1215, 213946, 5.0]
[1, 1, '≥¨ –', 1216, 165235, 30.0]
[1, 1, '≥¨ –', 1216, 165238, 2.0]
[1, 1, '≥¨ –', 1219, 211831, 18.4]
[1, 1, '≥¨ –', 1219, 211827, 30.0]
[1, 1, '≥¨ –', 1221, 191501, 10.0]
[1, 1, '≥¨ –', 1231, 223104, 0.3]
[1, 1, '≥¨ –', 1231, 223050, 22.5]
[1, 1, ' ≥Ã√', 101, 121154, 12.0]
[1, 1, ' ≥Ã√', 102, 111145, 5.6]
[1, 1, ' ≥Ã√', 102, 172237, 5.6]
[1, 1, ' ≥Ã√', 103, 83732, 3.4]
[1, 1, ' ≥Ã√', 103, 114307, 5.6]
[1, 1, ' ≥Ã√', 104, 80039, 3.4]
[1, 1, ' ≥Ã√', 104, 171753, 4.6]
[1, 1, ' ≥Ã√', 105, 85433, 3.4]
[1, 1, ' ≥Ã√', 105, 113654, 2.0]
[1, 1, ' ≥Ã√', 105, 113626, 5.6]
[1, 1, ' ≥Ã√', 105, 171312, 5.6]
[1, 1, ' ≥Ã√', 105, 172623, 1.0]
[1, 1, ' ≥Ã√', 106, 84021, 3.4]
[1, 1, ' ≥Ã√', 106, 113737, 5.6]
[1, 1, ' ≥Ã√', 107, 114120, 2.0]
[1, 1, ' ≥Ã√', 107, 113804, 4.6]
[1, 1, ' ≥Ã√', 107, 171248, 5.1]
[1, 1, ' ≥Ã√', 108, 171101, 0.6]
[1, 1, ' ≥Ã√', 109, 114027, 6.1]
[1, 1, ' ≥Ã√', 110, 112548, 5.6]
[1, 1, ' ≥Ã√', 110, 73436, 2.2]
[1, 1, ' ≥Ã√', 111, 114505, 5.6]
[1, 1, ' ≥Ã√', 113, 113955, 5.1]
[1, 1, ' ≥Ã√', 114, 105839, 4.6]
[1, 1, ' ≥Ã√', 114, 165446, 4.6]
[1, 1, ' ≥Ã√', 1122, 170249, 5.6]
[1, 1, ' ≥Ã√', 1123, 71233, 3.4]
[1, 1, ' ≥Ã√', 1123, 120349, 5.6]
[1, 1, ' ≥Ã√', 1123, 182357, 1.0]
[1, 1, ' ≥Ã√', 1123, 182156, 4.6]
[1, 1, ' ≥Ã√', 1124, 111506, 5.6]
[1, 1, ' ≥Ã√', 1124, 174004, 4.6]
[1, 1, ' ≥Ã√', 1125, 112409, 5.6]
[1, 1, ' ≥Ã√', 1125, 112505, 4.6]
[1, 1, ' ≥Ã√', 1125, 114121, 2.9]
[1, 1, ' ≥Ã√', 1125, 175543, 5.1]
[1, 1, ' ≥Ã√', 1125, 175753, 4.1]
[1, 1, ' ≥Ã√', 1126, 70614, 5.1]
[1, 1, ' ≥Ã√', 1126, 120920, 4.6]
[1, 1, ' ≥Ã√', 1126, 180953, 1.8]
[1, 1, ' ≥Ã√', 1126, 180455, 6.1]
[1, 1, ' ≥Ã√', 1126, 180446, 5.6]
[1, 1, ' ≥Ã√', 1126, 180948, 2.9]
[1, 1, ' ≥Ã√', 1127, 112219, 5.1]
[1, 1, ' ≥Ã√', 1127, 175431, 4.6]
[1, 1, ' ≥Ã√', 1128, 111330, 5.1]
